"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.37537942027397e-31,0.529192641535641,0.358,0.125,2.69946262161448e-26,"Dendritic cells","ADRM1"
7.54500027225595e-31,0.799745642113937,0.541,0.189,2.7615455496484e-26,"Dendritic cells","LRP1"
7.91142533050223e-31,0.558374228928823,0.534,0.213,2.89566078521712e-26,"Dendritic cells","GNA13"
8.14707844612344e-31,0.866394661598991,0.507,0.16,2.98191218206564e-26,"Dendritic cells","MARCKS"
8.1616621463993e-31,0.743028712513926,0.426,0.135,2.98724996220361e-26,"Dendritic cells","LILRB3"
8.63415608594721e-31,0.785732282282066,0.324,0.087,3.16018746901754e-26,"Dendritic cells","IFI27L2"
8.76454913860366e-31,0.316383030328106,0.439,0.182,3.20791263022033e-26,"Dendritic cells","ST13"
8.95303065674976e-31,0.53921736250394,0.486,0.196,3.27689875067698e-26,"Dendritic cells","PDCD6"
1.0290112593292e-30,2.10316651520668,0.365,0.061,3.76628411027079e-26,"Dendritic cells","LILRB4"
1.03439214713631e-30,0.595768968459812,0.655,0.282,3.78597869773361e-26,"Dendritic cells","TTC7A"
1.05674645918784e-30,0.500677264379997,0.311,0.1,3.86779771527341e-26,"Dendritic cells","COPS6"
1.10570478945076e-30,0.928435382456505,0.595,0.215,4.04699009986872e-26,"Dendritic cells","UQCR10"
1.17282957790874e-30,0.303536959168526,0.48,0.19,4.29267353810377e-26,"Dendritic cells","SLC43A2"
1.2207902139062e-30,1.16887019637441,0.419,0.117,4.46821426191809e-26,"Dendritic cells","KLF10"
1.33341740614233e-30,1.52828619068246,0.615,0.189,4.88044104822156e-26,"Dendritic cells","AC009093.2"
1.38381612474572e-30,0.580926617693138,0.493,0.195,5.0649053981818e-26,"Dendritic cells","ABR"
1.45185301571341e-30,1.0208279570881,0.453,0.136,5.31392722281266e-26,"Dendritic cells","GCA"
1.50818099327436e-30,0.33285038054799,0.493,0.179,5.5200932534835e-26,"Dendritic cells","NLRP3"
1.54110027520694e-30,0.315807069795659,0.372,0.138,5.64058111728494e-26,"Dendritic cells","IDH2"
1.58071137903397e-30,0.317804529819651,0.486,0.204,5.78556171840224e-26,"Dendritic cells","ZMIZ1"
1.63759217688549e-30,0.483382743867291,0.595,0.254,5.99375112661856e-26,"Dendritic cells","HIPK3"
1.63918204097995e-30,0.519633127505354,0.459,0.175,5.99957018819072e-26,"Dendritic cells","STAT2"
1.71217800760721e-30,0.844721062540572,0.264,0.052,6.26674272564316e-26,"Dendritic cells","ITM2C"
1.73595785858453e-30,0.320002197309694,0.5,0.22,6.35377935820524e-26,"Dendritic cells","TAF10"
1.75936460010594e-30,0.345762582658089,0.541,0.242,6.43945037284776e-26,"Dendritic cells","ETF1"
1.85330259303917e-30,0.290993718752797,0.446,0.181,6.78327282078266e-26,"Dendritic cells","HADHB"
1.86860320462558e-30,0.965243014655606,0.723,0.294,6.8392745892501e-26,"Dendritic cells","ARPC5"
1.93483976632882e-30,0.376067333516368,0.405,0.15,7.0817070287401e-26,"Dendritic cells","FLOT2"
1.97364637409709e-30,0.313311930242898,0.432,0.179,7.22374309383277e-26,"Dendritic cells","RSL24D1"
1.99638109119591e-30,1.13624829846004,0.439,0.124,7.30695443188615e-26,"Dendritic cells","NAPRT"
2.14305800744041e-30,0.99630753141039,0.453,0.135,7.84380661303263e-26,"Dendritic cells","CD302"
2.18911804282295e-30,0.659068082384031,0.534,0.209,8.01239094853627e-26,"Dendritic cells","CAPN2"
2.24079833996705e-30,1.58986674437602,0.439,0.1,8.20154600411341e-26,"Dendritic cells","LRRK1"
2.32874738958507e-30,0.446793874883622,0.541,0.22,8.52344832062032e-26,"Dendritic cells","MIR4435-2HG"
2.34313350727165e-30,1.10456453617946,0.399,0.11,8.57610294996496e-26,"Dendritic cells","HSBP1"
2.51236183823515e-30,1.21634599286641,0.77,0.308,9.19549556412447e-26,"Dendritic cells","ATP5F1B"
2.68045721259584e-30,0.674715711998242,0.351,0.11,9.81074144382204e-26,"Dendritic cells","IDH3G"
2.86861425163042e-30,0.746505039615173,0.446,0.143,1.04994150223925e-25,"Dendritic cells","ATP6V1A"
2.92321103915906e-30,0.579290561171743,0.561,0.236,1.06992447244261e-25,"Dendritic cells","CD164"
3.13598693666135e-30,1.54344575977886,0.331,0.068,1.14780257868742e-25,"Dendritic cells","NAGA"
3.1965423246661e-30,1.70746266915987,0.385,0.077,1.16996645625104e-25,"Dendritic cells","CDKN1A"
3.27439355635616e-30,0.46335613838205,0.554,0.231,1.19846078556192e-25,"Dendritic cells","OXSR1"
3.36374667358171e-30,1.0258842266181,0.419,0.119,1.23116491999764e-25,"Dendritic cells","STK38L"
3.61730987289237e-30,0.529180532890695,0.818,0.421,1.32397158657734e-25,"Dendritic cells","RHOA"
3.67279143651565e-30,0.822124694911874,1,0.661,1.34427839367909e-25,"Dendritic cells","OAZ1"
3.75109976022334e-30,0.563226204501193,0.324,0.105,1.37294002323935e-25,"Dendritic cells","ILK"
4.10057615810381e-30,0.520192416343816,0.554,0.247,1.50085187962757e-25,"Dendritic cells","TMEM123"
4.33713503741785e-30,1.1224875180547,0.351,0.086,1.58743479504531e-25,"Dendritic cells","SNX30"
4.45739383426818e-30,0.579057195524187,0.851,0.442,1.6314507172805e-25,"Dendritic cells","NDUFA13"
4.45782223535168e-30,1.06505935647311,0.426,0.122,1.63160751636107e-25,"Dendritic cells","RNPEP"
